Site,Latitude,Longitude,Continent,FireFreq,Duration,FireSeason,BA,Density
KrugerSkukuza,-25.086,31.385,,0.5,43,DEC,,294
KrugerSkukuza,-25.086,31.385,,0.5,43,FEB,,295
KrugerSkukuza,-25.086,31.385,,0.5,43,OCT,,451
KrugerSkukuza,-25.086,31.385,,1,43,AUG,1.083499865,320
KrugerSkukuza,-25.086,31.385,,0,43,CONT,2.62141568,336
KrugerSkukuza,-25.086,31.385,,0.3333333,43,APR,,681
KrugerSkukuza,-25.086,31.385,,0.3333333,43,AUG,3.98461221,688
KrugerSkukuza,-25.086,31.385,,0.3333333,43,DEC,,343
KrugerSkukuza,-25.086,31.385,,0.3333333,43,FEB,,184
KrugerSkukuza,-25.086,31.385,,0.3333333,43,OCT,,368
KrugerSkukuza,-25.086,31.385,,0.5,43,APR,,423
KrugerSkukuza,-25.086,31.385,,0.5,43,AUG,2.99837149,738
KrugerSkukuza,-25.086,31.385,,0.5,43,DEC,,214
KrugerSkukuza,-25.086,31.385,,0.5,43,FEB,,257
KrugerSkukuza,-25.086,31.385,,0.5,43,OCT,,566
KrugerSkukuza,-25.086,31.385,,1,43,AUG,0.909958785,249
KrugerSkukuza,-25.086,31.385,,0,43,CONT,3.08526389,212
KrugerSkukuza,-25.086,31.385,,0.3333333,43,APR,,125
KrugerSkukuza,-25.086,31.385,,0.3333333,43,AUG,2.25877661,327
KrugerSkukuza,-25.086,31.385,,0.3333333,43,DEC,,103
KrugerSkukuza,-25.086,31.385,,0.3333333,43,FEB,,111
KrugerSkukuza,-25.086,31.385,,0.3333333,43,OCT,,161
KrugerSkukuza,-25.086,31.385,,0.5,43,APR,,372
KrugerSkukuza,-25.086,31.385,,0.5,43,AUG,1.68836141,190
KrugerSkukuza,-25.086,31.385,,0.5,43,DEC,,384
KrugerSkukuza,-25.086,31.385,,0.5,43,FEB,,332
KrugerSkukuza,-25.086,31.385,,0.5,43,OCT,,253
KrugerSkukuza,-25.086,31.385,,1,43,AUG,1.89823484,508
KrugerSkukuza,-25.086,31.385,,0,43,CONT,2.719467895,253
KrugerSkukuza,-25.086,31.385,,0.3333333,43,APR,,259
KrugerSkukuza,-25.086,31.385,,0.3333333,43,AUG,2.64875604,183
KrugerSkukuza,-25.086,31.385,,0.3333333,43,DEC,,208
KrugerSkukuza,-25.086,31.385,,0.3333333,43,FEB,,194
KrugerSkukuza,-25.086,31.385,,0.3333333,43,OCT,,358
KrugerSkukuza,-25.086,31.385,,0.5,43,APR,,349
KrugerSkukuza,-25.086,31.385,,0.5,43,AUG,1.199276975,231
KrugerSkukuza,-25.086,31.385,,0.5,43,DEC,,277
KrugerSkukuza,-25.086,31.385,,0.5,43,FEB,,188
KrugerSkukuza,-25.086,31.385,,0.5,43,OCT,,179
KrugerSkukuza,-25.086,31.385,,1,43,AUG,1.79934512,182
Lamto,6.22,-5.03,,1,36,JAN,,58
Lamto,6.22,-5.03,,0.9166667,36,JAN,,169
Lamto,6.22,-5.03,,0,36,CONT,,366
Lamto,6.22,-5.03,,1,36,JAN,,67
Lamto,6.22,-5.03,,0.9444444,36,JAN,,91
Lamto,6.22,-5.03,,1,36,JAN,,308
Lamto,6.22,-5.03,,0.05555556,36,CONT,,632
Lamto,6.22,-5.03,,0.08823529,36,CONT,,361
LaPampa,-38.75,-63.75,,0.2777778,18,MAR-JUN,,11873.80952
LaPampa,-38.75,-63.75,,0.2777778,18,MAR-JUN,,9538.492063
LaPampa,-38.75,-63.75,,0.1666667,18,MAR-JUN,,10745.13889
LaPampa,-38.75,-63.75,,0.1666667,18,MAR-JUN,,12161.11111
LaPampa,-38.75,-63.75,,0,18,CONT,,11250.69444
LaPampa,-38.75,-63.75,,0,18,CONT,,10065.97222
Limestone,34.558498,-111.328313,,0.5,30,NOV,35.89,1606.13
Limestone,34.558498,-111.328313,,0.1,30,NOV,47.46,1566.59
Limestone,34.558498,-111.328313,,0.125,24,NOV,31.98,1289.84
Limestone,34.558498,-111.328313,,0.1,30,NOV,38.13,716.58
Limestone,34.558498,-111.328313,,1,31,NOV,39.87,850.01
Limestone,34.558498,-111.328313,,0.125,24,NOV,32.05,958.73
Limestone,34.558498,-111.328313,,0.5,30,NOV,40.92,815.42
Limestone,34.558498,-111.328313,,0.25,28,NOV,31.23,1581.42
Limestone,34.558498,-111.328313,,0,0,CONT,40.54,1858.17
Limestone,34.558498,-111.328313,,1,31,NOV,34.28,775.88
Limestone,34.558498,-111.328313,,1,31,NOV,31.1,756.12
Limestone,34.558498,-111.328313,,0.25,28,NOV,36.74,1037.81
Limestone,34.558498,-111.328313,,0.5,30,NOV,44.4,1714.85
Limestone,34.558498,-111.328313,,0.25,28,NOV,42.66,1428.22
Limestone,34.558498,-111.328313,,0.1666667,30,NOV,27.74,711.64
Limestone,34.558498,-111.328313,,0.125,24,NOV,35.52,1902.64
Limestone,34.558498,-111.328313,,0.1666667,30,NOV,33.62,840.13
Limestone,34.558498,-111.328313,,0,100,CONT,46.13,3696.57
Limestone,34.558498,-111.328313,,0.1,30,NOV,43.94,1690.14
Limestone,34.558498,-111.328313,,0,100,CONT,45.61,1576.48
Limestone,34.558498,-111.328313,,0.1666667,30,NOV,33.46,1220.66
Lombard,41.95,-70.033,,0,16,JUNJULAUG,,900
Lombard,41.95,-70.033,,1,10,JUNJULAUG,,700
Lombard,41.95,-70.033,,1,16,JUNJULAUG,,650
Lombard,41.95,-70.033,,1,21,JUNJULAUG,,625
Lombard,41.95,-70.033,,1,5,JUNJULAUG,,775
Lombard,41.95,-70.033,,0,16,JUNJULAUG,,675
Lombard,41.95,-70.033,,1,10,JUNJULAUG,,625
Lombard,41.95,-70.033,,1,16,JUNJULAUG,,600
Lombard,41.95,-70.033,,1,21,JUNJULAUG,,750
Lombard,41.95,-70.033,,1,5,JUNJULAUG,,675
Lombard,41.95,-70.033,,0,10,JUNJULAUG,,1150
Lombard,41.95,-70.033,,1,10,JUNJULAUG,,700
Lombard,41.95,-70.033,,1,16,JUNJULAUG,,700
Lombard,41.95,-70.033,,1,21,JUNJULAUG,,700
Lombard,41.95,-70.033,,1,5,JUNJULAUG,,750
Lombard,41.95,-70.033,,0,16,JUNJULAUG,,675
Lombard,41.95,-70.033,,0.5,22,JUNJULAUG,,750
Lombard,41.95,-70.033,,0.5,6,JUNJULAUG,,675
Lombard,41.95,-70.033,,0.5,10,JUNJULAUG,,625
Lombard,41.95,-70.033,,0.5,16,JUNJULAUG,,600
Lombard,41.95,-70.033,,0,16,JUNJULAUG,,675
Lombard,41.95,-70.033,,0.5,22,JUNJULAUG,,750
Lombard,41.95,-70.033,,0.5,6,JUNJULAUG,,675
Lombard,41.95,-70.033,,0.5,10,JUNJULAUG,,625
Lombard,41.95,-70.033,,0.5,16,JUNJULAUG,,600
Lombard,41.95,-70.033,,0,16,JUNJULAUG,,1350
Lombard,41.95,-70.033,,0.5,22,JUNJULAUG,,750
Lombard,41.95,-70.033,,0.5,6,JUNJULAUG,,1125
Lombard,41.95,-70.033,,0.5,10,JUNJULAUG,,950
Lombard,41.95,-70.033,,0.5,16,JUNJULAUG,,800
Lombard,41.95,-70.033,,0,16,JUNJULAUG,,675
Lombard,41.95,-70.033,,0.3333333,6,JUNJULAUG,,675
Lombard,41.95,-70.033,,0.3333333,12,JUNJULAUG,,625
Lombard,41.95,-70.033,,0.3333333,18,JUNJULAUG,,600
Lombard,41.95,-70.033,,0.3333333,21,JUNJULAUG,,750
Lombard,41.95,-70.033,,0,16,JUNJULAUG,,975
Lombard,41.95,-70.033,,0.3333333,6,JUNJULAUG,,750
Lombard,41.95,-70.033,,0.3333333,12,JUNJULAUG,,675
Lombard,41.95,-70.033,,0.3333333,18,JUNJULAUG,,650
Lombard,41.95,-70.033,,0.3333333,21,JUNJULAUG,,600
Lombard,41.95,-70.033,,0,16,JUNJULAUG,,675
Lombard,41.95,-70.033,,0.3333333,6,JUNJULAUG,,675
Lombard,41.95,-70.033,,0.3333333,12,JUNJULAUG,,625
Lombard,41.95,-70.033,,0.3333333,18,JUNJULAUG,,600
Lombard,41.95,-70.033,,0.3333333,21,JUNJULAUG,,750
Lombard,41.95,-70.033,,0,16,JUNJULAUG,,675
Lombard,41.95,-70.033,,0.25,8,JUNJULAUG,,675
Lombard,41.95,-70.033,,0.25,12,JUNJULAUG,,625
Lombard,41.95,-70.033,,0.25,16,JUNJULAUG,,600
Lombard,41.95,-70.033,,0.25,24,JUNJULAUG,,750
Lombard,41.95,-70.033,,0,16,JUNJULAUG,,675
Lombard,41.95,-70.033,,0.25,8,JUNJULAUG,,675
Lombard,41.95,-70.033,,0.25,12,JUNJULAUG,,625
Lombard,41.95,-70.033,,0.25,16,JUNJULAUG,,600
Lombard,41.95,-70.033,,0.25,24,JUNJULAUG,,750
Lombard,41.95,-70.033,,0,16,JUNJULAUG,,775
Lombard,41.95,-70.033,,0.25,8,JUNJULAUG,,600
Lombard,41.95,-70.033,,0.25,12,JUNJULAUG,,500
Lombard,41.95,-70.033,,0.25,16,JUNJULAUG,,475
Lombard,41.95,-70.033,,0.25,24,JUNJULAUG,,450
Lombard,41.95,-70.033,,0,16,MARAPRMAY,,675
Lombard,41.95,-70.033,,1,10,MARAPRMAY,,625
Lombard,41.95,-70.033,,1,16,MARAPRMAY,21.556399,600
Lombard,41.95,-70.033,,1,21,MARAPRMAY,,750
Lombard,41.95,-70.033,,1,5,MARAPRMAY,,675
Lombard,41.95,-70.033,,0,16,MARAPRMAY,,675
Lombard,41.95,-70.033,,1,10,MARAPRMAY,,625
Lombard,41.95,-70.033,,1,16,MARAPRMAY,21.843208,600
Lombard,41.95,-70.033,,1,21,MARAPRMAY,,750
Lombard,41.95,-70.033,,1,5,MARAPRMAY,,675
Lombard,41.95,-70.033,,0,16,MARAPRMAY,,925
Lombard,41.95,-70.033,,1,10,MARAPRMAY,,675
Lombard,41.95,-70.033,,1,16,MARAPRMAY,32.17245,650
Lombard,41.95,-70.033,,1,21,MARAPRMAY,,625
Lombard,41.95,-70.033,,1,5,MARAPRMAY,,750
Lombard,41.95,-70.033,,0,16,MARAPRMAY,,675
Lombard,41.95,-70.033,,0.5,11,MARAPRMAY,24.388409,750
Lombard,41.95,-70.033,,0.5,6,MARAPRMAY,,675
Lombard,41.95,-70.033,,0.5,10,MARAPRMAY,,625
Lombard,41.95,-70.033,,0.5,16,MARAPRMAY,,600
Lombard,41.95,-70.033,,0,16,MARAPRMAY,,675
Lombard,41.95,-70.033,,0.5,11,MARAPRMAY,16.205287,750
Lombard,41.95,-70.033,,0.5,6,MARAPRMAY,,675
Lombard,41.95,-70.033,,0.5,10,MARAPRMAY,,625
Lombard,41.95,-70.033,,0.5,16,MARAPRMAY,,600
Lombard,41.95,-70.033,,0,16,MARAPRMAY,,675
Lombard,41.95,-70.033,,0.5,11,MARAPRMAY,29.050511,750
Lombard,41.95,-70.033,,0.5,6,MARAPRMAY,,675
Lombard,41.95,-70.033,,0.5,10,MARAPRMAY,,625
Lombard,41.95,-70.033,,0.5,16,MARAPRMAY,,600
Lombard,41.95,-70.033,,0,16,MARAPRMAY,,675
Lombard,41.95,-70.033,,0.3333333,6,MARAPRMAY,,675
Lombard,41.95,-70.033,,0.3333333,12,MARAPRMAY,,625
Lombard,41.95,-70.033,,0.3333333,18,MARAPRMAY,,600
Lombard,41.95,-70.033,,0.3333333,21,MARAPRMAY,15.250285,750
Lombard,41.95,-70.033,,0,16,MARAPRMAY,,675
Lombard,41.95,-70.033,,0.3333333,6,MARAPRMAY,,675
Lombard,41.95,-70.033,,0.3333333,12,MARAPRMAY,,625
Lombard,41.95,-70.033,,0.3333333,18,MARAPRMAY,,600
Lombard,41.95,-70.033,,0.3333333,21,MARAPRMAY,12.92162,750
Lombard,41.95,-70.033,,0,16,MARAPRMAY,,725
Lombard,41.95,-70.033,,0.3333333,6,MARAPRMAY,,525
Lombard,41.95,-70.033,,0.3333333,12,MARAPRMAY,,425
Lombard,41.95,-70.033,,0.3333333,18,MARAPRMAY,,350
Lombard,41.95,-70.033,,0.3333333,21,MARAPRMAY,13.77845,300
Lombard,41.95,-70.033,,0,16,MARAPRMAY,,675
Lombard,41.95,-70.033,,0.25,8,MARAPRMAY,,675
Lombard,41.95,-70.033,,0.25,12,MARAPRMAY,,625
Lombard,41.95,-70.033,,0.25,16,MARAPRMAY,,600
Lombard,41.95,-70.033,,0.25,24,MARAPRMAY,18.98925,750
Lombard,41.95,-70.033,,0,16,MARAPRMAY,,675
Lombard,41.95,-70.033,,0.25,8,MARAPRMAY,,675
Lombard,41.95,-70.033,,0.25,12,MARAPRMAY,,625
Lombard,41.95,-70.033,,0.25,16,MARAPRMAY,,600
Lombard,41.95,-70.033,,0.25,24,MARAPRMAY,24.211494,750
Lombard,41.95,-70.033,,0,16,MARAPRMAY,,875
Lombard,41.95,-70.033,,0.25,8,MARAPRMAY,,525
Lombard,41.95,-70.033,,0.25,12,MARAPRMAY,,425
Lombard,41.95,-70.033,,0.25,16,MARAPRMAY,,425
Lombard,41.95,-70.033,,0.25,24,MARAPRMAY,20.9748118,400
Lombard,41.95,-70.033,,0,16,CONT,19.457622,4550
Lombard,41.95,-70.033,,0,16,CONT,17.521201,4050
Lombard,41.95,-70.033,,0,16,CONT,21.329406,5275
Lombard,41.95,-70.033,,0,16,CONT,32.590647,4525
Lombard,41.95,-70.033,,0,16,CONT,25.866899,3325
Marondera,-18.192876,31.542239,,0,54,CONT,12.34558971,625.5506608
Marondera,-18.192876,31.542239,,0.25,54,AUG-NOV,4.288537344,171.8061674
Marondera,-18.192876,31.542239,,0.33,54,AUG-NOV,0.654455709,44.05286344
Marondera,-18.192876,31.542239,,0.25,54,AUG-NOV,0.571444057,61.67400881
Marondera,-18.192876,31.542239,,0.33,54,AUG-NOV,5.131190159,136.5638767
Marondera,-18.192876,31.542239,,1,54,AUG-NOV,0.114560018,13.21585903
Marondera,-18.192876,31.542239,,0.33,54,AUG-NOV,1.090615383,57.26872247
Marondera,-18.192876,31.542239,,0.25,54,AUG-NOV,11.74226867,528.6343612
Marondera,-18.192876,31.542239,,0.5,54,AUG-NOV,1.848665286,92.51101322
Marondera,-18.192876,31.542239,,0.5,54,AUG-NOV,1.630486868,61.67400881
Marondera,-18.192876,31.542239,,0.25,54,AUG-NOV,5.296071899,185.0220264
Marondera,-18.192876,31.542239,,0.25,54,AUG-NOV,9.015074674,383.2599119
Marondera,-18.192876,31.542239,,0,54,CONT,11.548516,572.6872247
Marondera,-18.192876,31.542239,,1,54,AUG-NOV,0.157402841,17.62114537
Marondera,-18.192876,31.542239,,0.25,54,AUG-NOV,8.099310608,277.5870904
Marondera,-18.192876,31.542239,,0.5,54,AUG-NOV,0.742531705,22.02643172
Marondera,-18.192876,31.542239,,0.33,54,AUG-NOV,1.832102396,88.10572687
Marondera,-18.192876,31.542239,,0.33,54,AUG-NOV,9.197218079,484.5814978
Marondera,-18.192876,31.542239,,0.33,54,AUG-NOV,3.475966181,149.7797357
Marondera,-18.192876,31.542239,,0.5,54,AUG-NOV,0.089141441,8.810572687
Marondera,-18.192876,31.542239,,0.25,54,AUG-NOV,3.35096615,101.3215859
Morton,41.817,-88.05,,0.333,21,FALL,19.60570581,1000
Morton,41.817,-88.05,,1,21,FALL,16.18436496,2375
Morton,41.817,-88.05,,0,21,CONT,29.08613616,6666.666667
Morton,41.817,-88.05,,0,21,CONT,22.46940375,735.2941176
Okmulgee,35.633,-96.03,,0.5263158,19,FEB-MAR,31.75447707,
Okmulgee,35.633,-96.03,,0.2631579,19,FEB-MAR,48.60928867,
Okmulgee,35.633,-96.03,,0.2105263,19,FEB-MAR,33.30184931,
Okmulgee,35.633,-96.03,,0.3684211,19,FEB-MAR,35.37047748,
Okmulgee,35.633,-96.03,,0.2105263,19,FEB-MAR,37.41052504,
Okmulgee,35.633,-96.03,,0.1052632,19,FEB-MAR,51.71455584,
Okmulgee,35.633,-96.03,,0.3157895,19,FEB-MAR,37.48150419,
Okmulgee,35.633,-96.03,,0,19,CONT,34.09794648,
Sequoia,36.61256,-118.720808,,0,31,CON,46.2,390
Sequoia,36.61256,-118.720808,,0,31,CON,24.8,410
Sequoia,36.61256,-118.720808,,0,28,CON,444.4,200
Sequoia,36.61256,-118.720808,,0.1,32,SummerFall,44.6,190
Sequoia,36.61256,-118.720808,,0.1,26,SummerFall,45.1,190
Sequoia,36.61256,-118.720808,,0.1,32,SummerFall,154.9,520
TallTimbers,30.65,-84.2,,0.5,52,FEB-APR,8.768472,40.42553
TallTimbers,30.65,-84.2,,0,52,CONT,23.8010265,228
TallTimbers,30.65,-84.2,,0.5,52,FEB-APR,7.41185,37.837837
TallTimbers,30.65,-84.2,,0,52,CONT,27.8537437,256
TallTimbers,30.65,-84.2,,0.5,52,FEB-APR,8.538659,52.28758
TallTimbers,30.65,-84.2,,0,52,CONT,17.49051295,176.9230762
TallTimbers,30.65,-84.2,,0.5,52,FEB-APR,5.430606,20.779218
TallTimbers,30.65,-84.2,,0,52,CONT,33.0185935,322.05887
UniversityMissouri,36.9,-90.31666667,,0.25,64,MAR-MAY,18.16,137.5
UniversityMissouri,36.9,-90.31666667,,0.25,64,MAR-MAY,14.5894079,125
UniversityMissouri,36.9,-90.31666667,,0,64,CONT,26.90796122,368.75
UniversityMissouri,36.9,-90.31666667,,0,64,CONT,18.8917848,306.25
UniversityMissouri,36.9,-90.31666667,,1,64,MAR-MAY,16.6257988,200
UniversityMissouri,36.9,-90.31666667,,1,64,MAR-MAY,19.268807,287.5
UniversityMissouri,36.9,-90.31666667,,1,62,MAR-MAY,20.7669886,250
UniversityMissouri,36.9,-90.31666667,,0.25,62,MAR-MAY,17.5728,237.5
UniversityMissouri,36.9,-90.31666667,,0.25,62,MAR-MAY,17.8670396,243.75
UniversityMissouri,36.9,-90.31666667,,0,62,CONT,22.3651767,350
UniversityMissouri,36.9,-90.31666667,,1,62,MAR-MAY,20.5383477,262.5
UniversityMissouri,36.9,-90.31666667,,0,62,CONT,23.32350826,306.25
WetPeachester,-26.83333333,152.8833333,,0,39,CONT,48.8,
WetPeachester,-26.83333333,152.8833333,,0.2051282,39,JUN - SEP,40.37,
WetPeachester,-26.83333333,152.8833333,,0.2051282,39,JUN - SEP,53.61,
WetPeachester,-26.83333333,152.8833333,,0.3947368,38,JUN - SEP,37.9,
WetPeachester,-26.83333333,152.8833333,,0.3947368,38,JUN - SEP,54.56,
WetPeachester,-26.83333333,152.8833333,,0,38,CONT,59.36,
WetPeachester,-26.83333333,152.8833333,,0.3846154,39,JUN - SEP,50.49,
WetPeachester,-26.83333333,152.8833333,,0.3846154,39,JUN - SEP,48.21,
WetPeachester,-26.83333333,152.8833333,,0.2051282,39,JUN - SEP,48.21,
WetPeachester,-26.83333333,152.8833333,,0.2051282,39,JUN - SEP,55.19,
WetPeachester,-26.83333333,152.8833333,,0,39,CONT,47.6,
WetPeachester,-26.83333333,152.8833333,,0,39,CONT,60.71,
Wharton,39.63333333,-74.63333333,,0,50,CONT,56.09817696,2800.429713
Wharton,39.63333333,-74.63333333,,0.1666667,50,WINTER,29.58930511,1661.783915
Wharton,39.63333333,-74.63333333,,0,50,CONT,54.94245438,2856.884557
Wharton,39.63333333,-74.63333333,,0.1666667,50,WINTER,37.25259084,1097.265662
Wharton,39.63333333,-74.63333333,,0.1666667,50,WINTER,32.77141817,1107.855877
Wharton,39.63333333,-74.63333333,,0.1666667,50,WINTER,26.97629595,1665.721708
Wharton,39.63333333,-74.63333333,,0.1666667,50,WINTER,27.19448507,2747.331543
Wharton,39.63333333,-74.63333333,,0.1666667,50,WINTER,27.34417757,809.7453646
Wharton,39.63333333,-74.63333333,,0.1666667,50,WINTER,32.18390081,2083.922028
Wharton,39.63333333,-74.63333333,,0.1666667,50,WINTER,29.18688942,902.8172293
Wharton,39.63333333,-74.63333333,,0.1666667,50,WINTER,16.86439687,1081.086111
MatoposThornveld,-20.6,28.5,,0,15,,,34763.44512
MatoposThornveld,-20.6,28.5,,1,15,,,16791.70079
MatoposThornveld,-20.6,28.5,,1,15,,,13586.44736
MatoposThornveld,-20.6,28.5,,1,15,,,12103.41965
MatoposThornveld,-20.6,28.5,,0.5,15,,,9009.791969
MatoposThornveld,-20.6,28.5,,0.5,15,,,11928.00778
MatoposThornveld,-20.6,28.5,,0.33,15,,,20714.54826
MatoposThornveld,-20.6,28.5,,0.33,15,,,13458.87508
MatoposThornveld,-20.6,28.5,,0.2,15,,,20395.61757
MatoposSandveld,-20.6,28.5,,0,16,,,19004.28093
MatoposSandveld,-20.6,28.5,,1,16,,,8371.929924
MatoposSandveld,-20.6,28.5,,1,16,,,9436.361014
MatoposSandveld,-20.6,28.5,,1,16,,,8168.611625
MatoposSandveld,-20.6,28.5,,0.5,16,,,22843.40879
MatoposSandveld,-20.6,28.5,,0.5,16,,,9209.122916
MatoposSandveld,-20.6,28.5,,0.33,16,,,8108.812126
MatoposSandveld,-20.6,28.5,,0.33,16,,,13407.04778
MatoposSandveld,-20.6,28.5,,0.2,16,,,6015.829645
Red Volta,10.9,-0.7,,0,27,,,1307
Red Volta,10.9,-0.7,,1,27,,,515
Red Volta,10.9,-0.7,,1,27,,,327
Munmarlary_OpenForest,-12.46,132.5,,0,21,,,13640
Munmarlary_OpenForest,-12.46,132.5,,1,21,,,11388
Munmarlary_OpenForest,-12.46,132.5,,1,21,,,21104
Munmarlary_OpenForest,-12.46,132.5,,0.5,21,,,21596
Munmarlary_Woodlands,-12.46,132.5,,0,23,,,9720
Munmarlary_Woodlands,-12.46,132.5,,1,23,,,12784
Munmarlary_Woodlands,-12.46,132.5,,1,23,,,15292
Munmarlary_Woodlands,-12.46,132.5,,0.5,23,,,13080
Solar Village,-12.62,131.1,,0,23,,12.7,8907
Solar Village,-12.62,131.1,,0,23,,13.9,7784
Solar Village,-12.62,131.1,,1,23,,9.8,1780
Solar Village,-12.62,131.1,,1,23,,8,2813
Kanji-TerMac,10.2,4.4,,1,3,,,2960
Kanji-TerMac,10.2,4.4,,1,3,,,230
Kanji-TerMac,10.2,4.4,,0,3,,,560
Kanji-Woodland,10.2,4.4,,1,3,,,1140
Kanji-Woodland,10.2,4.4,,1,3,,,430
Kanji-Woodland,10.2,4.4,,0,3,,,970
Kanji-BurkDet,10.2,4.4,,1,3,,,3750
Kanji-BurkDet,10.2,4.4,,1,3,,,800
Kanji-BurkDet,10.2,4.4,,0,3,,,2980
Territory Wildlife Park,-12.7,130.98,,0,3,,,3339
Territory Wildlife Park,-12.7,130.98,,1,3,,,2340
Territory Wildlife Park,-12.7,130.98,,0.5,3,,,1652
Kapalga,-12.57,132.27,,0,4,,10.21,966
Kapalga,-12.57,132.27,,1,4,,8.83,726
Kapalga,-12.57,132.27,,1,4,,7.4,306
Central Sierra Nevada,38,-120,,0,,,,1103
Central Sierra Nevada,38,-120,,1,,,,441.3
Northern Rocky Mountains,43,-113,,0,,,,2575.4
Northern Rocky Mountains,43,-113,,1,,,,2119.1
Blue Mountains,45.5,-117,,0,,,,394
Blue Mountains,45.5,-117,,1,,,,244.7
Southwestern Plateau,35,-112,,0,,,,636.9
Southwestern Plateau,35,-112,,1,,,,552.6
Southern Cascades,41.5,-122,,0,,,,2021.8
Southern Cascades,41.5,-122,,1,,,,686.3
Teakettle,37,-119,,0,4,,56.4,469
Teakettle,37,-119,,1,4,,53.7,353.8
Cape Cleveland,-19.27,147.03,,0,4,,21.9,714
Cape Cleveland,-19.27,147.03,,1,4,,22.4,357
Cape Cleveland,-19.27,147.03,,1,4,,26.3,536